江苏频道,#genre#
生活时尚,http://192.168.5.1:4000/udp/239.49.8.40:8004
东方财经,http://192.168.5.1:4000/udp/239.49.0.95:8000
中国天气,http://192.168.5.1:4000/udp/239.49.0.94:8000
法治天地,http://192.168.5.1:4000/udp/239.49.0.96:8000
动漫秀场,http://192.168.5.1:4000/udp/239.49.8.43:8028
游戏风云,http://192.168.5.1:4000/udp/239.49.8.41:8012
睛彩竞技,http://192.168.5.1:4000/udp/239.49.8.39:8000
睛彩篮球,http://192.168.5.1:4000/udp/239.49.8.42:8000
睛彩青少,http://192.168.5.1:4000/udp/239.49.8.46:8000
睛彩广场舞,http://192.168.5.1:4000/udp/239.49.8.64:8000
茶频道,http://192.168.5.1:4000/udp/239.49.0.146:8000
快乐垂钓,http://192.168.5.1:4000/udp/239.49.0.114:8000
金鹰纪实,http://192.168.5.1:4000/udp/239.49.8.79:8000
金鹰卡通,http://192.168.5.1:4000/udp/239.49.8.33:8000
武术世界,http://192.168.5.1:4000/udp/239.49.0.205:8000
文物宝库,http://192.168.5.1:4000/udp/239.49.0.209:8000
梨园频道,http://192.168.5.1:4000/udp/239.49.8.193:8000
超清频道,#genre#
CCTV-16 奥林匹克4K,http://192.168.5.1:4000/udp/239.49.0.109:8000
CCTV-4K 超高清,http://192.168.5.1:4000/udp/239.49.0.82:8000
北京卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.0.42:8000
深圳卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.28:8000
深圳卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.27:8000
广东卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.26:8000
广东卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.24:8000
欢笑剧场4K,http://192.168.5.1:4000/udp/239.49.8.106:8000
江苏卫视4K,http://192.168.5.1:4000/udp/239.49.1.62:8000
江苏卫视4K,http://192.168.5.1:4000/udp/239.49.1.61:8000
湖南卫视4K,http://192.168.5.1:4000/udp/239.49.1.68:8000
湖南卫视4K,http://192.168.5.1:4000/udp/239.49.1.67:8000
东方卫视4K,http://192.168.5.1:4000/udp/239.49.1.70:8000
东方卫视4K,http://192.168.5.1:4000/udp/239.49.1.69:8000
四川卫视4K,http://192.168.5.1:4000/udp/239.49.1.66:8000
四川卫视4K,http://192.168.5.1:4000/udp/239.49.1.65:8000
浙江卫视4K,http://192.168.5.1:4000/udp/239.49.1.64:8000
浙江卫视4K,http://192.168.5.1:4000/udp/239.49.1.63:8000
山东卫视4K,http://192.168.5.1:4000/udp/239.49.1.72:8000
山东卫视4K,http://192.168.5.1:4000/udp/239.49.1.71:8000
浙江频道,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
地方频道,#genre#
南京新闻综合,http://192.168.5.1:4000/udp/239.49.0.25:8192
南京教科,http://192.168.5.1:4000/udp/239.49.0.183:9434
南京十八·生活,http://192.168.5.1:4000/udp/239.49.0.26:8200
南京文旅纪录,http://192.168.5.1:4000/udp/239.49.0.38:8000
南京少儿,http://192.168.5.1:4000/udp/239.49.0.45:8000
南京影视,http://192.168.5.1:4000/udp/239.49.0.24:8000
南京高淳新闻,http://192.168.5.1:4000/udp/239.49.0.74:8000
苏州生活资讯,http://192.168.5.1:4000/udp/239.49.8.116:8000
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州电影娱乐信息,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
无锡新闻综合高清,http://192.168.5.1:4000/udp/239.49.1.77:8000
无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡都市资讯高清,http://192.168.5.1:4000/udp/239.49.1.78:8000
无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd
无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡生活,http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济,http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
宜兴新闻,https://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
常州都市,http://192.168.5.1:4000/udp/239.49.0.220:9590
常州生活,http://192.168.5.1:4000/udp/239.49.0.219:9586
常州公共,http://192.168.5.1:4000/udp/239.49.0.218:9582
常州综合,http://192.168.5.1:4000/udp/239.49.0.221:9594
常州金坛电视台,http://192.168.5.1:4000/udp/239.49.1.54:8000
南通新闻综合,http://192.168.5.1:4000/udp/239.49.0.223:8000
南通社教,http://192.168.5.1:4000/udp/239.49.0.224:8000
南通公共·崇川,http://192.168.5.1:4000/udp/239.49.0.197:8000
泰州1,http://192.168.5.1:4000/udp/239.49.0.215:8000
泰州2,http://192.168.5.1:4000/udp/239.49.0.217:8000
泰州3,http://192.168.5.1:4000/udp/239.49.0.222:8000
泰州兴化新闻综合,http://192.168.5.1:4000/udp/239.49.0.162:8000
泰州泰兴综合,http://192.168.5.1:4000/udp/239.49.0.168:8000
淮安综合,http://192.168.5.1:4000/udp/239.49.0.204:8000
淮安公共,http://192.168.5.1:4000/udp/239.49.0.181:8000
淮安影视娱乐,http://192.168.5.1:4000/udp/239.49.0.192:8000
淮安洪泽1,http://192.168.5.1:4000/udp/239.49.0.89:8000
淮安淮阴综合,http://192.168.5.1:4000/udp/239.49.0.169:8000
淮安盱眙综合,http://192.168.5.1:4000/udp/239.49.0.237:8000
盐城1,http://192.168.5.1:4000/udp/239.49.8.30:8000
盐城2,http://192.168.5.1:4000/udp/239.49.0.88:8000
盐城3,http://192.168.5.1:4000/udp/239.49.0.91:8000
盐城响水综合,http://192.168.5.1:4000/udp/239.49.0.115:8912
镇江新闻综合,http://192.168.5.1:4000/udp/239.49.0.98:8000
徐州1,http://192.168.5.1:4000/udp/239.49.0.203:8000
徐州2,http://192.168.5.1:4000/udp/239.49.0.199:8000
徐州3,http://192.168.5.1:4000/udp/239.49.0.211:8000
徐州4,http://192.168.5.1:4000/udp/239.49.0.216:8000
沛县新闻综合,http://192.168.5.1:4000/udp/239.49.0.214:8000
徐州睢宁综合,http://192.168.5.1:4000/udp/239.49.0.239:8000
徐州贾汪新闻,http://192.168.5.1:4000/udp/239.49.0.248:8000
徐州邳州综合,http://192.168.5.1:4000/udp/239.49.0.182:8000
徐州铜山1,http://192.168.5.1:4000/udp/239.49.0.163:8000
连云港新闻综合,http://192.168.5.1:4000/udp/239.49.0.225:8000
连云港生活频道,http://192.168.5.1:4000/udp/239.49.0.229:8000
连云港东海综合,http://192.168.5.1:4000/udp/239.49.0.121:8000
连云港赣榆电视台,http://192.168.5.1:4000/udp/239.49.0.241:8000
宿迁综合,http://192.168.5.1:4000/udp/239.49.0.231:8000
宿迁公共,http://192.168.5.1:4000/udp/239.49.0.236:8000
宿迁宿豫综合,http://192.168.5.1:4000/udp/239.49.0.83:8000
宿迁沭阳综合,http://192.168.5.1:4000/udp/239.49.0.189:8792
宿迁泗洪综合,http://192.168.5.1:4000/udp/239.49.0.195:8000
宿迁泗阳综合,http://192.168.5.1:4000/udp/239.49.0.249:8000






